District_code,State_name,District_name,Population,Male,Female,Literate,Workers,Male_Workers,Female_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,506072,413713,92359,170827,158026,20803,1457892,113961,1362,1045,1733,3917,195192,121283,118571,979633,362026,237786
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,442023,364543,77480,166731,151727,12533,1273546,101963,1004,371,332,228,168866,101542,79012,856336,320763,202054
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,628864,493991,134873,224986,234069,20783,1612968,176327,1300,478,819,155,223529,157167,97740,1100820,415918,276272
164,UTTAR PRADESH,Kanpur Nagar,4581268,2459806,2121462,3243022,1572232,1299871,272361,198547,258790,68738,3792174,720660,15751,29676,2733,5710,651228,515772,396565,2630411,1209554,731795
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,620764,470969,149795,196613,243035,26109,1509708,171581,1148,463,2875,256,167911,104699,106888,1002817,410090,274954
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,814914,565357,249557,228881,248072,48648,1823930,147842,7050,4951,1203,7328,186348,99814,92586,1171301,510728,308331
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,503351,326783,176568,267580,131354,14882,1163804,33724,1351,1034,69,20390,61543,32237,34658,793551,265080,159666
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,443655,308527,135128,130314,181449,19876,1010014,91269,814,196,74,41,103334,59914,59612,660774,260368,181109
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,349676,237153,112523,114244,130422,13523,815142,57454,965,389,94,234,60400,33810,37165,527067,201394,137393
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,701689,485314,216375,251755,273458,19098,1637549,157612,1367,231,168,916,114783,61702,63112,1120432,408527,265310
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,394197,254977,139220,160094,150695,12555,955372,34559,693,63,101,285,69641,40266,35826,638046,214228,136669
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,1063929,713736,350193,328758,425366,51555,2274674,350700,2201,402,172,199,227119,134445,116445,1624830,603831,395547
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1066601,704569,362032,305746,386563,68642,2731351,452394,3920,1451,7795,746,332742,238011,197846,2002569,703727,492097
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,639086,402644,236442,141102,321410,30491,1372381,220423,2225,522,687,545,146757,89011,45341,1034099,336401,210556
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2111907,1426110,685797,474283,541146,185877,5102041,796756,13782,4377,4391,2247,596615,502826,428871,3764404,1335224,818137
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1192850,871241,321609,458479,421973,77235,2505444,737106,4857,2090,1553,3016,197780,132332,113799,2043335,709494,445269
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,831209,597888,233321,260406,272734,43505,2094271,365806,3225,1912,737,358,231129,176303,179996,1534832,543148,367332
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,787398,547406,239992,213814,301120,58520,1985654,401678,2536,869,1817,235,247028,172872,194387,1499494,515229,367234
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1242632,869838,372794,338890,501634,85785,3119590,650261,4453,1629,9989,426,306046,188848,176414,2376875,828222,580164
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,1152160,895576,256584,430227,482897,37965,2291892,1169330,6400,8212,2793,1177,104762,65106,47690,2275746,754346,446242
181,UTTAR PRADESH,Shrawasti,1117361,593897,523464,423313,403755,293981,109774,163449,165118,18494,768643,343981,1427,407,323,68,29567,19744,15648,723443,245098,143979
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,760253,534332,225921,276614,328768,29916,1333242,805975,3228,900,1866,198,65516,40633,37109,1415213,442339,283947
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1170552,855848,314704,440340,431532,65299,2739076,678615,4735,1893,649,338,192664,144067,118176,2223078,734903,464584
184,UTTAR PRADESH,Siddharthnagar,2559297,1295095,1264202,1228926,878898,583633,295265,298360,395993,35756,1789704,748073,3042,681,11964,179,110056,73465,56516,1690396,504002,359977
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,783688,558642,225046,296928,282260,36856,2082976,364510,3493,900,9753,107,211477,162961,143642,1574037,519265,363891
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,539469,383482,155987,149604,241825,28884,1300586,404410,1766,447,4393,95,129442,86528,63506,1108368,352395,250502
187,UTTAR PRADESH,Mahrajganj,2684703,1381754,1302949,1419144,994253,659465,334788,229847,532486,43015,2196884,458650,3527,1381,16030,243,185236,129222,95863,1694493,595114,370573
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1351629,1016876,334753,255660,454931,82965,4009037,403847,9662,2123,2848,460,425913,316166,273903,2755630,992114,659677
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1116973,804857,312116,265686,528388,57049,2928462,620244,5006,767,4619,383,249265,170911,119625,2236842,772777,500373
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,876246,639073,237173,238237,291016,50418,2730957,358539,3626,818,1182,209,372031,277548,194341,1946336,664708,481219
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1372032,941890,430142,425630,452055,115991,3878626,718692,3810,719,5652,183,489060,312571,158303,2930243,965876,699954
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,696747,475413,221334,145225,212343,118614,1769937,428555,2109,340,564,155,256784,209493,150462,1402738,467343,323260
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1019483,723060,296423,206228,384432,72194,3004240,213440,4463,892,1595,233,409484,323582,200434,1975934,724362,502628
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1437375,934157,503218,540762,436792,88404,3981502,483750,4947,1286,7898,349,520111,353996,256398,2826453,927026,689979
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1204602,808700,395902,368943,435934,68254,3233790,368153,4181,810,3145,213,449909,334003,186306,2234593,774130,556273
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,652543,462971,189572,125980,248674,58552,1727869,215081,2153,1389,340,100,196240,135962,88299,1222695,437000,287767
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1220708,921234,299474,197952,182146,168764,3107681,546987,7696,3309,1146,1898,447926,351391,281652,2260457,856070,531549
198,UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),1578213,807099,771114,910146,470608,343155,127453,94402,104419,62665,1368291,203887,1365,199,1562,161,167524,120944,86533,1032294,331743,209920
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,881996,613061,268935,178132,334372,80246,2292534,195765,2373,1133,341,701,232189,177109,140668,1590528,552177,346773
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,730399,463611,266788,141007,371261,29417,1738769,103567,3963,1649,1747,487,120822,82614,63846,1203938,418914,237866
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,545984,440244,105740,242396,131779,28396,1611126,146346,2464,708,2887,5671,178434,119665,88607,1149372,383707,237427
202,UTTAR PRADESH,Kanshiram Nagar,1436719,764165,672554,724850,472765,375213,97552,229088,107094,22492,1211427,213822,1969,2280,3907,313,108558,61662,48079,946320,301252,183434
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1478947,999282,479665,217539,998833,38691,3047427,865090,8469,926,1337,296,159563,98732,70669,2544205,888205,497793
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1737539,1260774,476765,349032,1057417,46164,4086453,990349,4865,668,878,464,241118,121594,68781,3316422,1122340,648009
205,BIHAR,Sheohar,656246,346673,309573,283698,216372,166693,49679,38727,136334,9119,552492,99342,522,216,73,52,25657,16031,10091,421241,139909,93398
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,1114583,865929,248654,216012,635907,37932,2672311,740101,2897,261,253,188,136500,92783,70549,2206340,739982,449035
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1636938,1105947,530991,396880,940642,54934,3652168,818912,3262,564,328,442,303114,170563,137780,2860455,1009424,611899
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,877682,551718,325964,201882,554271,22555,1809936,409251,3758,271,136,546,99530,69665,45726,1453438,495020,277610
209,BIHAR,Araria,2811569,1463333,1348236,1195768,1069893,708391,361502,222913,691947,24367,1593525,1207442,4116,371,187,1910,112955,68177,39627,1872943,612012,324091
210,BIHAR,Kishanganj,1690400,866970,823430,745056,529064,421192,107872,107862,321867,11633,531236,1149095,5783,398,183,1476,42778,25989,15386,1139615,361114,188447
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,1143318,803275,340043,197424,745015,28840,1989420,1255641,7989,614,353,1450,119259,83226,59996,2155512,696556,372692
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,1013566,760522,253044,168857,672291,20577,1684589,1365645,8659,2754,212,507,133811,88498,57114,2054202,660403,353483
213,BIHAR,Madhepura,2001762,1047559,954203,834577,777546,496046,281500,190809,484062,16347,1753829,241760,1342,170,60,133,99437,79891,44955,1311771,444235,242382
214,BIHAR,Saharsa,1900661,997174,903487,804996,649898,456724,193174,164600,356833,18651,1629254,266620,1292,197,60,109,90182,64560,47051,1249692,415863,233870
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1223640,947927,275713,236673,642115,44846,3042729,881476,3534,832,245,236,224622,152540,129597,2535344,865971,529314
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1547586,1195308,352278,273436,769001,65253,4032773,745546,5149,933,288,382,299475,194920,138916,3016735,1079189,697108
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,728201,539586,188615,208959,338666,26049,2119262,436057,2463,271,167,133,223776,123249,79109,1642807,546202,370662
218,BIHAR,Siwan,3330464,1675090,1655374,1930175,932416,730396,202020,264928,376344,31244,2712635,608282,2618,369,407,359,355277,186817,119164,2115448,713597,498299
219,BIHAR,Saran,3951862,2022821,1929041,2157454,1040231,857660,182571,232097,493461,42103,3534772,406449,2330,371,229,322,361171,213251,148065,2516115,847031,585386
220,BIHAR,Vaishali,3495021,1844535,1650486,1926740,1060344,858648,201696,255017,502637,36958,3152346,333980,2203,707,362,246,291392,178320,124448,2176701,759132,486032
221,BIHAR,Samastipur,4261566,2230003,2031563,2142880,1343400,1037576,305824,299039,721629,47917,3800598,452370,2126,554,292,231,284082,186153,129933,2766930,913339,568812
222,BIHAR,Begusarai,2970541,1567660,1402881,1548673,938182,715345,222837,146035,430870,58167,2554330,407348,2209,402,229,276,207136,144783,101836,1951688,644874,369996
223,BIHAR,Khagaria,1666886,883786,783100,768028,560805,398216,162589,104517,325731,20816,1486989,175588,1253,143,79,86,100555,65931,38697,1114645,355531,195796
224,BIHAR,Bhagalpur,3037766,1615663,1422103,1573066,983528,740056,243472,135161,475228,60461,2487866,537098,3556,415,180,1050,247079,154643,118843,1952879,674660,397654
225,BIHAR,Banka,2034763,1067140,967623,965321,771080,517817,253263,172440,462614,26680,1772655,250925,6138,139,113,94,120653,63103,35767,1291235,462080,278863
226,BIHAR,Munger,1367765,729041,638724,801817,426658,327453,99205,45953,196449,16690,1252319,110416,1815,338,95,145,147152,101907,64469,860147,316713,188319
227,BIHAR,Lakhisarai,1000912,526345,474567,507270,326576,240494,86082,78532,159970,13546,956396,40886,487,140,52,78,85807,48001,27261,650642,218840,130655
228,BIHAR,Sheikhpura,636342,329743,306599,328676,224655,151569,73086,54511,109696,9917,596102,37653,313,75,41,43,52860,33856,19676,413475,136898,85045
229,BIHAR,Nalanda,2877653,1497060,1380593,1519933,1045420,703405,342015,221240,534021,52585,2669775,198033,1978,393,414,561,274556,177358,133032,1829128,642197,403129
230,BIHAR,Patna,5838465,3078512,2759953,3459679,1881886,1436411,445475,271216,658203,85349,5356075,439952,12551,4803,1062,2151,698351,463361,452340,3626564,1382654,815638
231,BIHAR,Bhojpur,2728407,1430380,1298027,1599151,822493,640283,182210,190896,364875,47985,2518216,197819,2165,544,647,1472,313509,163303,131137,1722387,613072,387389
232,BIHAR,Buxar,1706352,887977,818375,989807,538322,402180,136142,132472,251790,26122,1591454,105423,2125,248,5090,97,178044,89306,64117,1074754,375372,253998
233,BIHAR,Kaimur (Bhabua),1626384,847006,779378,920276,511163,375959,135204,125070,268597,24880,1456229,155283,1407,296,7707,129,147315,86815,70169,1039302,353413,226808
234,BIHAR,Rohtas,2959918,1543546,1416372,1799832,924879,707939,216940,218087,405544,48512,2645415,300487,2889,2569,1584,252,333053,194928,161555,1875174,673742,407193
235,BIHAR,Aurangabad,2540073,1318684,1221389,1466002,837770,599157,238613,178525,426096,40652,2291133,237353,2218,295,334,775,253142,136783,91371,1626969,564571,340948
236,BIHAR,Gaya,4391418,2266566,2124852,2297613,1664062,1076170,587892,370759,783505,87178,3876395,488121,3943,913,870,1723,342254,191824,131163,2810026,936630,537333
237,BIHAR,Nawada,2219146,1144668,1074478,1091012,817041,539439,277602,216400,397505,40018,1964620,244394,1299,250,176,279,161127,95943,64585,1440781,485628,288805
238,BIHAR,Jamui,1760405,916064,844341,858588,727571,452288,275283,156491,331466,105637,1525746,217621,8443,162,159,87,104211,56137,29633,1135919,392052,227016
239,BIHAR,Jehanabad,1125313,585582,539731,618881,365378,266423,98955,86108,179519,15075,1045117,75742,691,148,248,60,112966,68748,45519,714244,254582,155106
240,BIHAR,Arwal,700843,363497,337346,386351,236354,167991,68363,49127,144698,6758,634099,64259,390,59,323,74,81975,48822,27945,444448,156031,98550
241,SIKKIM,North  District,43709,24730,18979,30450,23359,15935,7424,7313,2262,332,14883,815,2660,816,23318,35,3223,1993,1406,27099,11674,4887
242,SIKKIM,West District,136435,70238,66197,93432,70348,40772,29576,40797,8053,1403,75286,965,13002,40,36390,20,10005,6439,4831,84209,32520,19400
243,SIKKIM,South District,146850,76670,70180,106741,74753,45300,29453,37802,4188,1004,84583,1889,21462,151,35053,45,12415,7260,5766,87982,37318,20982
244,SIKKIM,East District,283583,151432,132151,214329,139678,92351,47327,31489,11483,2404,177910,6198,23398,861,72455,214,29215,19258,20904,165520,80354,37456
245,ARUNACHAL PRADESH,Tawang,49977,29151,20826,26073,28561,19554,9007,7631,1581,114,11842,787,776,1164,34920,72,2140,1989,1379,30709,13849,5399
246,ARUNACHAL PRADESH,West Kameng,83947,46155,37792,48492,42493,28313,14180,14476,1705,801,31265,1970,8466,328,36087,71,5633,3987,2693,53026,22362,8493
247,ARUNACHAL PRADESH,East Kameng,78690,38775,39915,38449,31710,16424,15286,21835,1063,273,12333,652,37136,36,452,23,6213,4510,2330,53752,17922,6960
248,ARUNACHAL PRADESH,Papum Pare,176573,89182,87391,121048,65772,41263,24509,14104,1859,1543,57027,6148,84397,310,4768,139,20007,17342,13840,120592,43812,11856
249,ARUNACHAL PRADESH,Upper Subansiri,83448,41758,41690,45278,33370,17898,15472,21690,1846,481,13474,521,8779,28,297,11,10348,8017,4276,56054,20055,7230
250,ARUNACHAL PRADESH,West Siang,112274,58168,54106,64746,49177,29156,20021,28852,1384,298,15881,2218,29969,577,3311,49,11441,8418,6030,70415,28305,13469
251,ARUNACHAL PRADESH,East Siang,99214,50116,49098,62576,40222,23591,16631,20185,3565,493,27854,2289,18254,69,776,30,10937,9498,6540,61993,25334,11802
252,ARUNACHAL PRADESH,Upper Siang,35320,18699,16621,18195,17644,9968,7676,9976,804,591,5261,411,5643,27,2577,7,2935,2211,1349,21090,8910,5252
253,ARUNACHAL PRADESH,Changlang,148226,76948,71278,73174,62966,39329,23637,39732,4208,496,47683,2134,35969,94,50381,95,10032,5641,3633,96630,35018,16414
254,ARUNACHAL PRADESH,Tirap,111975,57604,54371,47974,50169,27545,22624,35967,1811,836,20682,1103,83361,61,778,43,7834,4305,2134,71785,25669,14423
255,ARUNACHAL PRADESH,Lower Subansiri,83030,41843,41187,54057,30202,17339,12863,13656,1968,435,9551,1482,34402,27,193,13,9861,7674,5230,55258,20305,7412
256,ARUNACHAL PRADESH,Kurung Kumey,92076,45318,46758,36606,38044,18429,19615,27417,2947,833,4859,471,51189,43,121,81,6997,4353,2031,64379,20713,6836
257,ARUNACHAL PRADESH,Dibang Valley,8004,4414,3590,4436,3555,2228,1327,1290,106,68,3141,111,223,7,126,2,809,656,356,5113,2088,786
258,ARUNACHAL PRADESH,Lower Dibang Valley,54080,28053,26027,31849,22326,14102,8224,9687,3354,233,28915,2247,9213,33,2932,19,5508,3570,2795,35140,13254,5652
259,ARUNACHAL PRADESH,Lohit,145726,76221,69505,83062,60945,38910,22035,29909,7789,786,99020,3846,10684,210,24452,104,13070,7612,5180,94890,35493,15195
260,ARUNACHAL PRADESH,Anjaw,21167,11507,9660,9990,10501,6224,4277,6316,181,84,13088,655,271,273,644,12,1167,793,502,13913,4755,2456
261,NAGALAND,Mon,250260,131753,118507,119626,147654,79425,68229,113473,10836,1608,8102,3444,236494,84,1256,314,7628,3565,1772,168773,53600,27437
262,NAGALAND,Mokokchung,194622,101092,93530,159494,100067,57084,42983,48925,9166,3798,9840,2057,181847,78,442,66,27425,13077,10299,111243,52853,30363
263,NAGALAND,Zunheboto,140757,71217,69540,102881,79466,41178,38288,44723,11955,2025,2580,772,136995,39,286,6,17282,8821,5560,91709,32267,16730
264,NAGALAND,Wokha,166343,84505,81838,128208,78412,42096,36316,47473,6438,1965,5605,2043,158236,34,318,8,18746,10223,8030,106951,40510,18811
265,NAGALAND,Dimapur,378811,197394,181417,278037,151350,99645,51705,24517,8990,5073,108900,31212,234239,566,1270,2148,44343,26712,27532,243392,98601,36618
266,NAGALAND,Phek,163418,83743,79675,105893,80277,41556,38721,55091,3159,1275,3563,950,158224,31,350,17,12785,7268,5926,108514,37842,16969
267,NAGALAND,Tuensang,196596,101933,94663,117511,98154,52931,45223,75212,3913,1104,2979,1052,191864,27,572,5,15013,6008,2760,134573,43210,18762
268,NAGALAND,Longleng,50484,26502,23982,29859,30568,16273,14295,22501,1309,598,873,635,48849,5,77,0,3458,1695,595,33970,11210,5271
269,NAGALAND,Kiphire,74004,37830,36174,41232,31959,16780,15179,21432,1259,749,1040,564,71803,13,210,1,5204,2052,997,52699,14955,6309
270,NAGALAND,Kohima,267988,138966,129022,197489,114825,68140,46685,44684,2198,2072,25496,4384,234955,998,1519,80,30518,19855,23439,173701,68485,25557
271,NAGALAND,Peren,95219,49714,45505,62204,61390,32249,29141,39671,3739,2571,4076,1850,86145,15,459,10,8082,3938,2169,64393,21597,9156
272,MANIPUR,Senapati,479148,247323,231825,264477,233622,124143,109479,175127,30369,4978,43833,1649,426819,140,2409,53,62033,40438,24940,314439,111516,52008
273,MANIPUR,Tamenglong,140651,72371,68280,85006,70675,37237,33438,48849,1924,1710,2995,589,134760,59,425,57,17867,11645,7102,90273,33290,16924
274,MANIPUR,Churachandpur,274143,138820,135323,195935,122655,70594,52061,64834,8282,5067,12034,2886,254979,152,495,87,38567,23284,14523,168608,67802,37096
275,MANIPUR,Bishnupur,237399,118782,118617,156333,109937,62807,47130,34358,15109,11567,175102,18691,4264,56,76,16,31775,20077,20074,135220,62907,38815
276,MANIPUR,Thoubal,422168,210845,211323,269304,195319,109377,85942,77331,33106,21017,267146,107323,4322,106,114,24,55803,37899,28550,251975,107196,62060
277,MANIPUR,Imphal West,517992,255054,262938,392626,213387,128540,84847,37107,12870,19918,387497,24298,23377,589,1891,1264,77472,60821,81876,278940,148146,89394
278,MANIPUR,Imphal East,456113,226094,230019,324664,194848,117562,77286,36355,20250,21826,274906,80199,27361,181,639,62,60422,47390,50647,261530,123439,70005
279,MANIPUR,Ukhrul,183998,94718,89280,129829,87929,46533,41396,56815,3852,2233,7553,1115,174112,108,635,70,31734,22729,15636,113715,43646,25165
280,MANIPUR,Chandel,144182,74579,69603,90302,76238,42615,33623,43255,8315,3040,10810,3086,129049,136,400,59,18971,12213,8105,86255,39324,18329
281,MIZORAM,Mamit,86364,44828,41536,60191,39339,24016,15323,28669,2553,262,2989,1782,69104,13,12328,25,10756,3180,1771,55914,20082,10318
282,MIZORAM,Kolasib,83955,42918,41037,65895,36672,22733,13939,17992,5921,585,4000,4426,75210,16,108,2,9849,3473,2530,52147,20576,11167
283,MIZORAM,Aizawl,400309,199270,201039,340595,174636,104643,69993,39266,11434,3360,13249,5264,379134,105,1570,76,78752,37701,31310,235892,108094,56092
284,MIZORAM,Champhai,125745,63388,62357,100802,60342,34129,26213,38336,5823,980,1075,699,123446,9,151,45,16259,4956,4087,78778,29690,17189
285,MIZORAM,Serchhip,64937,32851,32086,54476,32397,18261,14136,21804,1284,926,991,335,63444,6,60,9,9062,2915,2128,39568,15894,9404
286,MIZORAM,Lunglei,161428,82891,78537,121122,78292,46230,32062,45439,10662,813,5231,1290,127124,74,27543,93,19918,8503,5509,100250,39690,21424
287,MIZORAM,Lawngtlai,117894,60599,57295,62861,45566,28517,17049,29189,3153,613,1668,522,63892,52,51549,122,10538,3763,2515,80723,25303,11831
288,MIZORAM,Saiha,56574,28594,27980,42233,19461,12211,7250,8908,957,313,933,514,54977,11,102,4,7269,3628,2204,37127,12784,6636
289,TRIPURA,West Tripura,1725739,879428,846311,1361354,698178,500406,197772,115175,156108,25163,1512801,152791,53622,499,2128,362,156277,88122,85405,940424,499719,284637
290,TRIPURA,South Tripura,876001,447544,428457,646810,366845,253229,113616,85530,111332,6375,736015,49258,39258,245,49420,106,70173,31690,26870,505558,236676,133424
291,TRIPURA,Dhalai,378230,194544,183686,276217,155831,105657,50174,45956,42201,2870,307120,8256,22940,175,39120,85,21430,9157,6425,232286,95548,50269
292,TRIPURA,North Tripura,693947,352860,341087,520402,248667,186034,62633,49286,43977,7088,507967,105737,44062,151,34717,307,47160,22720,18419,414878,178608,100274
293,MEGHALAYA,West Garo Hills,643291,324159,319132,358702,255693,151914,103779,120740,39725,7643,122936,106788,389956,209,3392,144,70941,29404,10856,427629,143604,70599
294,MEGHALAYA,East Garo Hills,317917,161223,156694,192147,126073,72262,53811,77390,19246,2475,17272,3359,289708,56,1004,38,31328,9473,2484,216742,70424,29926
295,MEGHALAYA,South Garo Hills,142334,73170,69164,82062,53069,32826,20243,28145,5565,1249,7036,1050,132984,27,332,10,13858,3998,826,97082,30605,14495
296,MEGHALAYA,West Khasi Hills,383461,193715,189746,230678,163345,89694,73651,84956,37184,2475,6498,1533,366881,58,1313,38,28417,12295,6450,278569,69988,33431
297,MEGHALAYA,Ribhoi,258840,132531,126309,155859,106473,63871,42602,55833,19989,1676,30945,1838,218508,166,428,49,20134,7632,3911,183343,52945,22365
298,MEGHALAYA,East Khasi Hills,825922,410749,415173,578030,326786,204303,122483,76767,40889,2966,144935,14185,543394,2495,3111,303,94579,58836,61639,545961,192428,86576
299,MEGHALAYA,Jaintia Hills,395124,196285,198839,187527,154180,88839,65341,50844,35766,2004,12456,1646,271596,34,284,45,26748,13544,8039,291097,72934,30362
300,ASSAM,Kokrajhar,887142,452905,434237,489305,341131,236322,104809,156753,56330,12423,529068,252271,101091,93,1718,396,78788,39571,17287,552671,224715,108956
301,ASSAM,Dhubri,1949258,997848,951410,922341,669819,524898,144921,205305,171116,27822,388380,1553023,4107,254,101,1846,100387,65082,34401,1286592,439375,221745
302,ASSAM,Goalpara,1008183,513292,494891,563577,362573,267118,95455,126549,75828,14346,347878,579929,77862,771,194,477,73683,39885,18294,650509,239831,117427
303,ASSAM,Barpeta,1693622,867004,826618,897058,561824,445297,116527,205259,98946,30342,492966,1198036,1020,112,49,399,121924,87377,46947,1072312,405046,215355
304,ASSAM,Morigaon,957423,486651,470772,539902,351148,257984,93164,157612,75984,14346,451882,503257,834,113,65,244,67969,40803,18462,612737,225224,118271
305,ASSAM,Nagaon,2823768,1439112,1384656,1710716,979998,766728,213270,346123,196174,38122,1225246,1563203,26844,3036,1073,1162,199792,115864,66994,1778277,678034,366112
306,ASSAM,Sonitpur,1924110,983904,940206,1108572,770606,537195,233411,249123,114865,25719,1422824,350536,138166,1363,5088,1003,141373,90385,49901,1159991,501239,261648
307,ASSAM,Lakhimpur,1042137,529674,512463,683486,429995,282250,147745,239377,43922,10983,797130,193476,46217,412,1074,250,107326,82885,44212,639385,268872,133615
308,ASSAM,Dhemaji,686133,351249,334884,423028,316800,186577,130223,231937,19181,7224,655052,13475,8711,297,911,167,80804,55399,28006,434221,169630,82051
309,ASSAM,Tinsukia,1327929,680231,647698,798322,557196,366623,190573,149482,47756,13241,1181347,48373,76877,1999,16228,837,109805,61040,38152,799874,352158,175377
310,ASSAM,Dibrugarh,1326335,676434,649901,884531,560557,368013,192544,135194,61209,14362,1198401,64526,52968,2261,4673,1055,139813,89500,59380,767147,371864,186774
311,ASSAM,Sivasagar,1151050,589216,561834,813505,485717,325071,160646,138100,48468,14532,1007277,95553,33147,902,3953,286,158118,96939,53437,648056,330947,171710
312,ASSAM,Jorhat,1092256,556805,535451,794929,498618,320746,177872,145885,53153,31543,1008219,54684,21051,1540,2378,719,128050,97025,62608,604908,315550,171062
313,ASSAM,Golaghat,1066888,543161,523727,721764,479928,309104,170824,190590,66616,15068,917426,90312,50582,1131,3863,530,111145,66197,36887,629153,289085,148244
314,ASSAM,Karbi Anglong,956313,490167,466146,557214,383441,246193,137248,223020,60952,9861,766000,20290,157789,370,6260,397,93137,40602,18225,618633,233739,103123
315,ASSAM,Dima Hasao,214102,110802,103300,140873,85028,56323,28705,44480,4818,1492,143593,4358,63310,207,680,70,27839,10859,5565,135463,53699,24830
316,ASSAM,Cachar,1736617,886284,850333,1174128,608062,469752,138310,120356,68664,24466,1038985,654816,37635,280,341,1673,156156,79766,45341,1048990,444899,241776
317,ASSAM,Karimganj,1228686,625864,602822,795297,399171,319798,79373,94348,67033,17435,521962,692489,11990,114,446,524,76685,39637,21408,779850,284368,163990
318,ASSAM,Hailakandi,659296,337890,321406,407366,214240,170792,43448,65673,31248,7313,251194,397653,8480,84,490,247,50056,28504,11608,419921,156243,82841
319,ASSAM,Bongaigaon,738804,375818,362986,434078,255806,197542,58264,83442,47406,9485,359145,371033,5924,384,236,871,55924,35491,20221,458796,184849,94939
320,ASSAM,Chirang,482162,244860,237302,259902,193894,128762,65132,80328,35224,7672,320647,109248,49747,87,406,125,37792,17702,6594,301518,122244,58282
321,ASSAM,Kamrup,1517542,778461,739081,995319,628954,428492,200462,185803,99522,69106,877495,601784,33297,319,185,1330,154831,118849,55011,895775,408232,212740
322,ASSAM,Kamrup Metropolitan,1253938,647585,606353,1001191,490932,375613,115319,25250,16995,12463,1064412,151071,18810,3679,1627,9250,148429,143478,167972,659453,401500,190908
323,ASSAM,Nalbari,771639,396006,375633,531771,267623,210202,57421,58070,34984,19302,491582,277488,429,62,27,1004,81507,71734,39368,442061,211320,117809
324,ASSAM,Baksa,950075,481330,468745,572837,406756,266611,140145,149288,94591,20310,782901,135750,27076,156,1189,239,96782,53446,15422,563089,256282,130083
325,ASSAM,Darrang,928500,475273,453227,487039,324843,246864,77979,129456,81617,10542,327322,597392,1688,431,57,724,59039,47398,22267,583436,226525,118102
326,ASSAM,Udalguri,831668,421617,410051,469926,345030,230690,114340,124824,72744,11801,612425,105319,110215,215,1681,124,63394,34334,14001,499214,221518,109962
